,Callsign,Service,Channel,City,State,Country,Facility ID Number (unique to each station),N (North) or S (South) Latitude,Degrees Latitude,Minutes Latitude,Seconds Latitude,W (West) or (E) East Longitude,Degrees Longitude,Minutes Longitude,Seconds Longitude,Licensee or Permittee,long_decimal,lat_decimal
12334,W242CD,FX,242,GREENSBORO,NC,US,142274,N,36,3,42.0,W,79,47,34.0,DELMARVA EDUCATIONAL ASSOCIATION,-79.79277777777777,36.06166666666666
12335,WRHT,FM,242,MOREHEAD CITY,NC,US,18296,N,34,45,7.6,W,76,52,55.8,"INNER BANKS MEDIA, LLC",-76.88216666666666,34.75211111111111
12336,W242DG,FX,242,TARBORO,NC,US,202415,N,35,54,11.0,W,77,46,56.0,"TREY AND ASSOCIATES, LLC",-77.78222222222222,35.903055555555554
12337,KNDS-LP,FL,242,FARGO,ND,US,133106,N,46,52,35.6,W,96,54,23.4,ALLIANCE FOR THE ARTS AND HUMANITIES,-96.90650000000001,46.876555555555555
12338,K242CZ,FX,242,VALLEY CITY,ND,US,200075,N,46,56,6.9,W,98,0,43.3,"I3G MEDIA, INC.",-98.01202777777777,46.935249999999996
12339,K242CU,FX,242,BROKEN BOW,NE,US,142190,N,41,23,48.3,W,99,37,4.3,CUSTER COUNTY BROADCASTING COMPANY,-99.61786111111111,41.39675
12340,K242BE,FX,242,NORFOLK,NE,US,140368,N,42,1,41.0,W,97,20,26.2,"COMMUNITY BROADCASTING, INC.",-97.3406111111111,42.028055555555554
12341,WFYX,FM,242,WALPOLE,NH,US,23307,N,43,8,14.2,W,72,25,57.3,"GREAT EASTERN RADIO, LLC",-72.43258333333334,43.137277777777776
12342,KKOB-FM,FM,242,ALBUQUERQUE,NM,US,48596,N,35,12,44.1,W,106,27,0.0,"RADIO LICENSE HOLDING CBC, LLC",-106.45,35.212250000000004
12343,K242DB,FX,242,CARLSBAD,NM,US,202470,N,32,27,1.1,W,104,12,46.0,"KAMQ, INC.",-104.21277777777777,32.45030555555556
12344,KKLZ,FM,242,LAS VEGAS,NV,US,40757,N,36,0,28.9,W,115,0,22.9,"BEASLEY MEDIA GROUP LICENSES, LLC",-115.0063611111111,36.00802777777778
12345,KKLZ,FS,242,LAS VEGAS,NV,US,40757,N,36,0,35.9,W,115,0,23.0,"BEASLEY MEDIA GROUP LICENSES, LLC",-115.00638888888889,36.009972222222224
12346,W242DC,FX,242,AUBURN,NY,US,202115,N,42,54,34.2,W,76,36,7.7,"AUBURN BROADCASTING, INC.",-76.60213888888889,42.9095
12347,W242AB,FX,242,ITHACA,NY,US,20647,N,42,23,30.3,W,76,28,27.8,"SAGA COMMUNICATIONS OF NEW ENGLAND, LLC",-76.4743888888889,42.39175
12348,W242AZ,FX,242,KEENE VALLEY,NY,US,152966,N,44,11,19.1,W,73,47,22.4,THE ST. LAWRENCE UNIVERSITY,-73.78955555555555,44.18863888888889
12349,WXNY-FM,FM,242,NEW YORK,NY,US,29022,N,40,44,54.3,W,73,59,8.5,"UNIVISION RADIO STATIONS GROUP, INC.",-73.98569444444445,40.74841666666667
12350,WXNY-FM,FS,242,NEW YORK,NY,US,29022,N,40,47,17.4,W,74,15,17.5,"UNIVISION RADIO STATIONS GROUP, INC.",-74.25486111111111,40.78816666666666
12351,WXNY-FM,FS,242,NEW YORK,NY,US,29022,N,40,45,22.4,W,73,59,10.5,"UNIVISION RADIO STATIONS GROUP, INC.",-73.98625,40.75622222222222
12352,WXNY-FM,FS,242,NEW YORK,NY,US,29022,N,40,47,15.4,W,74,15,16.5,"UNIVISION RADIO STATIONS GROUP, INC.",-74.25458333333333,40.78761111111111
12353,WXNY-FM,FS,242,NEW YORK,NY,US,29022,N,40,44,54.3,W,73,59,8.5,"UNIVISION RADIO STATIONS GROUP, INC.",-73.98569444444445,40.74841666666667
12354,WXNY-FM,FS,242,NEW YORK,NY,US,29022,N,40,44,54.0,W,73,59,9.0,"UNIVISION RADIO STATIONS GROUP, INC.",-73.98583333333333,40.748333333333335
12355,W242CT,FX,242,OLEAN,NY,US,150701,N,42,3,4.0,W,78,25,10.0,"SOUTHERN BELLE, LLC",-78.41944444444445,42.051111111111105
12356,WAJZ,FM,242,VOORHEESVILLE,NY,US,35537,N,42,38,11.3,W,74,0,0.5,"6 JOHNSON ROAD LICENSES, INC.",-74.00013888888888,42.636472222222224
12357,WLVQ,FM,242,COLUMBUS,OH,US,11277,N,39,58,16.2,W,83,1,39.6,"FRANKLIN COMMUNICATIONS, INC.",-83.02766666666666,39.97116666666667
12358,WLVQ,FS,242,COLUMBUS,OH,US,11277,N,39,52,29.2,W,82,58,45.6,"FRANKLIN COMMUNICATIONS, INC.",-82.97933333333333,39.87477777777778
12359,WLVQ,FS,242,COLUMBUS,OH,US,11277,N,39,52,34.0,W,82,58,49.0,"FRANKLIN COMMUNICATIONS, INC.",-82.98027777777779,39.876111111111115
12360,WLVQ,FS,242,COLUMBUS,OH,US,11277,N,40,2,50.2,W,83,3,42.7,"FRANKLIN COMMUNICATIONS, INC.",-83.06186111111111,40.04727777777778
12361,WLVQ,FS,242,COLUMBUS,OH,US,11277,N,40,2,50.2,W,83,3,42.3,"FRANKLIN COMMUNICATIONS, INC.",-83.06175,40.04727777777778
12362,K242AA,FX,242,"LAWTON, ETC.",OK,US,14450,N,34,36,26.2,W,98,27,54.2,"DAVID INGLES MINISTRIES CHURCH, INC.",-98.46505555555555,34.60727777777778
